sentence,emotion
i don t feel bothered at all by my various small pieces of bad luck,anger
i feel really rude by stating all these facts but i would feel rude too if i hadnt explained this journal at all and you added me and thought i didnt like you because i did not add you back,anger
i must admit it is making my skin feel fabulous,joy
i feel decidedly less neurotic than i have for about the past four months,fear
im shaking down cupid cause im feeling so mad id break his leg id kill myself if i was somebody else im feeling so beside myself no im shaking down cupid cause im feeling so mad why id break his leg id kill myself if i was somebody else im feeling so beside myself id,anger
i feel horrible for a soldier that has to have their memories branded into their brain compliments of ptsd,sad
im not sure why but im feeling oddly optimistic right now,joy
i admit that there are times like this day i feel devastated when echo and joseph that they did not want to tell me what their problem was so as my brother,sad
i remember just feeling humiliated by him yet at the same time feeling like i had to defend him,sad
i feel neglectful of this little blog and im here to spice it up with some instagrams to explain what ive been doing instead of sitting at the computer,sad
i don t feel that talented at impacting how things end up at the moment,joy
i feel like i had a pretty productive day,joy
i feel as though ive missed documenting an entire season but the reality is that weve just been in it,sad
i feel like they are just as dangerous and menacing as the criminals out there,anger
i feel and improvement in the workouts which is vital as it provides the confidence and encouragement to press on,joy
i just want him to feel welcomed,joy
i feel free wanna understand me more,joy
i just feel useless whenever i see pretty girls out there like literally they look good in all angles i am not photogenic have to resort to special effects photoshop,sad
when i came back from my holidays,sad
i was pretty much like you scrabbling around in a disorganised home environment feeling dissatisfied and burned out,anger
i went out of the house feeling frustrated because mom kept telling me not to buy an umbrella my brother had mine because it would be expensive blah,anger
im feeling more vulnerable writing about this than i do writing about my melt downs mishaps and toddler challenges,fear
i want to really laugh and feel delighted with stuff,joy
i feel completely rejected by him every time i try to talk to him,sad
i feel like every move i make is erasing some vital part of my future,joy
i feel im being bitchy and not seeing my parents for a while has gotten me a little depressed,anger
i am feeling stunned and shocked,suprise
i feel a cold hand,anger
i was feeling shaky from never eating wobbly from my hike when i felt my chair shake,fear
im feeling blank since yesterday because someone went china about hours ago,sad
i feel resentful at having to accept the feminist role especially given the negativity associated with that term,anger
i feel like i had a pretty productive week so please continue to pray for that aspect,joy
i can feel that i m admired by someone who i know little,love
i feel that you re doubtful of your data,fear
i feel that those brands to which i have been loyal for years have failed me during that time when i need results the most,love
i feel sure hes not ridiculing people with tourettes syndrome in saying this,joy
i feel that family is such an important part of our lives and ive said it before but ive taken my family for granted,joy
i spent a fair bit of time with my bare feet in the river looking at the city because i was feeling sentimental,sad
i am tired of being made to feel stupid because i do not know all the rules of grammar,sad
i feel incredibly tender about this and it makes me not want to discuss it at all,love
i feel hesitant to go here,fear
i didnt feel i rushed things dhawan tweet script type text javascript src http platform,anger
i know its been an extremely long time since i last posted which to be honest i almost feel a little bit embarrassed about,sad
i am feeling much better than i did a month ago still some back pain im guessing this is normal since he wanted to be sure i had enough pain pills from the first surgery left over but im healing,joy
i just feel confused about some of the things that were bought up and some of the things have disturbed memories i would rather of kept locked away in a box,fear
i knew i was crying cause my eyes were stinging but i couldnt feel it on my face and that bothered me,anger
i feel that fishtail braids should be messy,sad
i was praying that i felt a feeling of like being dazed i wasn t struck by lightning,suprise
i feel my life is gonna change soon i do oh i do sorrowful misspoken and wondering where to go recollect your dreams and sort through your clothes today s the day you re leaving and there s so much left undone unsaid good byes severed ties and songs left unsung oh the places you will go,sad
i can feel myself getting easily irritated and frustrated if things dont go correctly,anger
i feel better than i have all damn week,joy
i am feeling the pressure to decide what i m doing now and forever thanks to the vicious treadmill that is being young and successful in current american culture,anger
i love you and essentially go back on it youre obligated to probe your feelings for a justification or an explanation even if its unpleasant or even agonizing,sad
im happy feeling productive,joy
i feel fill in the blank,sad
i feel sooooo glamorous,joy
two years ago i saw a film on the tv even now it makes me afraid,fear
i feel love on it s list of the a target blank title the list mce href http www,sad
i write monologues when i am feeling stressed or disrupted in my norm and i post some of them on my youtube as well,sad
i mean recently i feel like ive been reaaally unhappy in ngee ann,sad
i feel bad knocking show down this far but i didnt see smackdown this week and i cant just assume he carried the show like he does every week daniel bryan doesnt appear on it,sad
i can feel a little bit of a benevolent connection with the critic micah mattix who writes in a conservative think tank piece on form and flarf that what is needed is a return to the natural constraint of complex form,joy
i look at my reflection in the dance damn i feel disgusted by myself,anger
i can feel myself grow more irritable as time goes on form a lack of happy and caring friends and a lack of any semblance of time to just,anger
i was feeling pretty pathetic when janice turned to me with a beautifully wrapped package and said i brought you this,sad
i received a lovely message from someone this week which used the phrase i feel useless no less than times,sad
i tend to get bent out of shape when i feel insulted,anger
i feel like i m just not faithful,joy
i remember cuddling her and feeling shocked that someones mother would not want them,suprise
i keep feeling she is curious about me and how i live my life n how you guys live your lives too,suprise
i leave when i feel restless,fear
i am pretty sure that discussing the whole thing in public spaces would result in being dismissed and told that my feelings were nothing because this relationship was a friendship not romantic,love
i just don t want you to feel burdened that s all seo hyun reveals,sad
i have found myself making scenarios and situations in my head for months trying to get my life to make sense again and you feel so insecure that leaving the house doesnt seem worth it anymore,fear
i feel numb amp weird amp emotionless,sad
i do know how those helpless kids feel masato assured her and i m sorry if i offended or upset you,joy
i feel very restless right now,fear
i feel lucky to have been able to share that time with him on the course,joy
i always feel sort of insecure and ashamed when my body and there is a sort of piles of like it is right now,fear
id spent some time writing about the thought do we really need to be offended by other peoples thoughts feelings and behaviors even if we dont agree with them or think that they are idiotic do we need to take it personally,sad
i feel as though i am merely clever enough to know how inadequate i am but not smart enough to do something about it thats worthwhile,joy
im still feeling really dazed but sometime in the wee hours of this morning i am feeling better,suprise
id pipe up and put in my two cents and id pose questions to the group trying to participate in an effort to put us both on a path toward understanding and healing all the while feeling my loved one seething in embarrassed stubborn silence beside me,love
i never expected to feel anything so strong for another,joy
i feel that my time with him has been the most successful on my mission,joy
i thought back to the listening device and how i felt a greater propensity towards tears as well as the myriad of activities in my life loud bright busy that made me fight back tears assuming i was just feeling beaten by this then nameless disorder,sad
i go bloghopping i see things i dont wish to see i feel so insulted,anger
i woke up this morning feeling so overwhelmed and stressed out,fear
i think i ll work with these things for a while and try to find some peace because i m tired of crying myself to sleep and i m tired of feeling so unsuccessful even though i understand that success is so subjective,sad
i have decided that when i do go back it will be because i am ready and want to and not because i feel guilty,sad
i do not know the answer i feel shamed to call myself a trekkie img src style emoticons brewboard biggrin,sad
i prayed i could feel myself getting more and more anxious,fear
i feel dumb for being mad but i need him now and i feel alone because i don t get help from anyone else but him,sad
i don t remember a lot of the session other than the guy that did my hair and makeup made me feel like i was the most gorgeous girl ever,joy
im just feeling so gloomy,sad
i am feeling very aggravated today and im trying hard not to be,anger
i never feel deprived and i never think about food,sad
im feeling a little vain today in outfit,sad
im just feeling extremely regretful ashamed embarrassed angry and overall upset,sad
i had i feel like i didnt shine and i feel like its because im dull now,sad
id allowed myself if id even left myself open to the possibility of growing deeper feelings however petty and absurd it is i would have fallen much harder,anger
i didnt work and refusing to answer my phone and or ims if i didnt feel like talking was pleasant to just not think about certain things for a short while,joy
i have been feeling more emotional distance,sad
i only feel the cold hand of aad and ya,anger
i doubt wearing a watch would make me feel gorgeous also,joy
i feel like you weren t faithful to me you lied to me numerous times so what makes me think you aren t lying to me now,love
i wasnt feeling emotionally frantic or shaky as my body was,fear
i feel the brush of his hot tongue and my eyes drift closed,love
i deeply love the place i live in now and dont plan to leave it until i leave this life whenever i return to the bay area i feel welcomed home as if i belong in some fundamental way to the soil the water and the sky,joy
i feel too disgusted with my own zombie ness any creating pass time that does not involve using the right arm too much or sitting at or,anger
i quietly rejoiced inside continuing to listen but feeling distracted by my joy,anger
i greatly appreciate the help for whoever is feeling generous gt,love
i could smell him his personal scent i could feel his strength his gentle hand stroking my long dark hair i just let all of the emotion out and listened as he quietly told me it was ok to let go of whatever had caused this torrent,love
i want to feel his embrace i want to see his gentle smile i want to see his purple eyes,love
im going to feel vaguely virtuous,joy
i wont comment on my feeling about it though be assured i know its much different than mine,joy
i feel like im doomed to fear all my life,sad
i think because it wasnt a formal ritual with a huge altar and tools and what have i didnt feel too pressured that i was going to fuck something up,fear
i really feel like i missed something important which just gives us a reason to go back,sad
i loved royals strength ant boy was she a women of worth you truly feel everything thing i was so caught up in this drama i hated it to end,sad
i said the feeling you got to get give me the fever in a cold sweat the way i like it is the way it is i got mine and don t worry bout his,anger
i feel sooo lousy a href http eggologydiva,sad
i feel very strongly about and have always felt strongly about is that obviously the main atrocity with is the death of the innocent people on the day,joy
i feel i have been paying the mrt to be tortured with loud advertisements while travelling on it,anger
i was feeling distracted and not taken seriously i sensed others were too,anger
i mention im feeling very very broke after a vacation and in pet bills today,sad
i feel cranky and tired with the extra baggage,anger
i feel gloomy a href http kmbrlyiverson,sad
i feel a little impatient,anger
i will certainly not criticize those that have chosen to do this surgery i cannot help but feel that a world that suggests such perfection and standardization in our genitalia is not a world worth supporting,joy
i honestly feel like all i am doing is in vain and nothing is happening,sad
i remember the sides of my mouth turning into a frown myself feeling dismayed my eyes blinking like a deer in the headlights,sad
i am torn between i can do this myself and im feeling a little helpless please come help me with this kid issue,fear
i feel hurt and i begin to feel inadequate because maybe he thinks im not as attractive as the women hes looking at,sad
i feel dumb for believing that you wouldn t be evil,sad
i seriously hate feeling depressed and like i done something wrong to feel like this and everything,sad
i feel more relaxed at least for now,joy
i am feeling homesick,sad
i feel happy when i visited kalam kudus elementary school i got something to learn from here,joy
i am out of town visiting jamie and my friends i get to feeling so lonely so desperate for a feeling of home,sad
i also feel embarrassed and like i wish i were stronger,sad
i haven t dealt with any severe abuse or bullying or anything yet i still feel really worthless sometimes,sad
i buzz in give an answer and find out that answer turns out to be the next word of the question those moments make me feel pretty dumb,sad
i start the pill and can give a first hand on how it feels to not feel horrible i will update,sad
i wasn t sure what i should feel there was sadness of course but only because my mother was devastated,sad
i feel like im a horrible person for wishing that because i absolutely love elsie more than anything,sad
i feel so lonely sometimes i feel so lonely a href http www,sad
i truly feel that if you are passionate enough about something and stay true to yourself you will succeed,love
i feel quite insecure,fear
i had my first test on wednesday and i left it feeling unhappy with my performance,sad
i think every girl likes diamonds and different coloured stones have different feelings they can be elegant or cute,joy
i ask the west how do you feel supporting the killer buddhists,joy
i resisted feeling out of control while in fact i have been pretty much out of control while being in the illusion of control,joy
i once wonder how a person can be alone and smiling to herself that same week i felt like i was smiling all the time all through the week feeling too blissed amp getting very very jealous over myself,anger
i feel fabulous and think i look pretty good too,joy
i remember jenni feeling very lethargic last summer and she just couldn t figure out what was wrong,sad
i can t continue a solid friendship with that person and it leaves me feeling as i would after a breakup heartbroken,sad
i fell behind and then forgot and then it looked really weird so i ve decided i ll go half way with these first impression posts maybe if i m feeling adventurous i ll be like a normal person and do the weekly gig,joy
i came back from an audition and i just was feeling very much like the stuff that i was auditioning for in la wasn t as artistic as the plays i had been doing in new york,joy
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,joy
ive completely healed feel vigorous and happy and have a very positive prognosis only one in eight women at my age and with my kind of breast cancer and gene expression will have a recurrence within ten years i wonder if im the unwitting bearer of a social stigma,joy
i honestly feel a little bit disappointed because in their email they mention maudy and afgan as the third speaker,sad
i just wish i wouldnt take things to the hilt and want to discuss the shit out of something and then feel dissatisfied because the person i was trying to discuss with was overwhelmed by my chatter,anger
i would feel embarrassed to pick up pennies off the ground yet i would often place them in my pocket with a feeling of pride as i rehearsed in my head a penny saved is a penny earned,sad
i can appreciate it in hindsight but i remember feeling insecure about what i was wearing and making a huge deal about it or opting to not dance because let s be frank i m like the world s worst dancer,fear
i am feeling more and more affectionate towards your penmanship,love
i feel so dirty but after spending a day at the mk show me and a buddy decided we would get the two player starter between us luckily for us both i liked the everblight and he liked the circle maybe a tad to much so it all worked out well,sad
i feel into this vicious cycle of depression and anxiety and the lesson i learned,anger
i have fallen in love with this way of life and now that i am not obsessing so much over results i feel free to actually enjoy the journey and not feel like i am forced to adhere to all the rules i laid out before,joy
i feel very tranquil and other times i don t feel tranquil at all,joy
i found out accidentaly that while my uncle was away in canada,anger
i don t want to have to keep it a secret either and i don t want to feel inhibited from mentioning my opinions about current affairs for fear i ll reveal my current political affiliation,fear
i feel tortured var fb comment action link href http celebdygest,anger
im not sure what to share but i feel like its not justice to all my faithful readers wherever you are,love
i can truly feel his tender mercies in my life,love
im usually back at home around or and i feel like ive had the most productive morning ever so the end result is worth it,joy
i am socialising and feel so awkward around other people at times that i eat to cover the fact i have nothing to contribute to the conversation,sad
i feel as though i have the divine right to react or reply violently to these annoying actions but my charming mother completely disagrees,joy
i already prepared my biodata but still i feel curious to send it to u coz many things happened here such as drugs money transfer,suprise
i feel resentful towards her for anything,anger
i feel like your type a personality keeps you from being the carefree child that i want you to be but you are your mothers child and you are a very happy child nonetheless,joy
i am gladly feeling happy to be a student,joy
i felt very sad and lonely and freaked out but it only took a couple of minutes and deep breaths and i feel calm again,joy
i didnt like how it felt and i started to feel anxious,fear
i have a feeling what would come out of my mouth would not be pleasant,joy
i feel like a failure when i dont get the grade i would have liked on a test even though i know i didnt study as much as i could have like yesterday,love
i still feel really damaged,sad
i think some of you knows how this feels my faithful backup device failed on me,love
i was thinking about what other people do when they are feeling loafy and want to be entertained without much effort,joy
i hate the way i feel its like being mentally tortured,fear
i have never been surprised like that because somehow my spiritual gift is unintentionally ruining surprises but man i was feeling all sorts of shy,fear
im feeling that good ol christmas crazy feeling i just looooove christmas like a crazy lady,joy
i seem to get on better with men they re less likely to get offended when i unthinkingly say the wrong thing they don t seem to mind when i go quiet because i m feeling shy and don t know what to say,fear
ive been allowing a friend to make me feel less than valuable lately and its putting a huge damper on any happy thoughts that i may have,joy
i could never do that and feel resentful when he tries to push me in that direction,anger
i didnt smoke in the house or car but i can remember feeling so agitated on the way home from anywhere,fear
i feel really strongly about especially the more that casual sex is accepted and cheating is considered normal this makes me so sad just be honest about it,joy
i can feel our hands caress each other i can feel our thighs brush together in a seemingly casual but not so casual way,joy
i feel every awful thing that happens is not as awful as what has happened i feel prepared for it,sad
i was able to get more hands on this week listening to hearts and breathing omg i feel so cool using a stethoscope and palpating for an enlarged spleen or a fetus head and i ve learned a lot about diagnosis in such a rural and financially limited environment,joy
i couldnt ride sean without feeling so afraid that i would get thrown off or kicked,fear
i feel so shy with that,fear
i pulled this lioness off her hanger and paired her with a cardigan feeling impressed with my color combination when i normally would veer towards a black cardi,suprise
i also feel very blessed to have my extended family,joy
i ask if the celebratory reactions don t actually fuel the fire of those who already may consider similar action because they feel ostracized from envious of hateful towards the u,anger
i feel like im just horrible at managing my time and suck at life,sad
i feel left out said petty weve had two straight protests and i havent been involved,anger
i feel less pressure and probably will be more productive in the end because of that,joy
i didnt record how tos with many of these crafts because i am extremely impatient when i start feeling creative so if you have questions just ask and ill do my best to steer you in the right direction,joy
i feel like the teachers are the only intelligent people in the class,joy
i feel so sympathetic towards but which i can see both sides of the argument here and in some ways support both sides,love
i was feeling better,joy
i sighed and took off my shoulder holster holding my glock and feeling very hesitant about leaving it,fear
i feel passionate about as i did let it stop me until i was mid twenties but the trick like with so much else is not to overcome it or expect it to go away because it wont but to work with it,love
i feel hopeful about my future,joy
i was feeling punished,sad
i don t know maybe it s my materialistic little self rearing its ugly head but i ve found that i can very easily feel dissatisfied with what i have at this time of year,anger
i feel that it makes things kind of selfish,anger
i might laugh but right now i feel stupid,sad
im feeling really good about this one,joy
i feel brave enough to share,joy
i know she is feeling a little hopeless after her house was robbed and she is struggling to find a new job and her lease ends this month,sad
im hoping that means that things will be getting better for everyone but i cant help but feel frightened and worried,fear
i feel hated by jim martin s,anger
i yell at him and he feels humiliated in front of my mom so he stops talking for days,sad
i am also feeling strong pains again and think i might start vomiting again,joy
i did not realize that i feel asleep until i woke up again no dreams or nightmares having disturbed the luminous peace of sleep,sad
i am and i feel fabulous,joy
i feel as confused about life as a teenager or as jaded as a year old man,fear
i came home feeling like i had clothes to wear to go a casual restaurant or to saturday night mass,joy
i can touch on the mundane moments and someone will find a common thread to let me know how they feel i can share with you my trials and struggles and have a compassionate ear there for me,love
i feel disgusted with myself that i wasnt more responsible about what i wrote in the sense that someone would think i was targetting them,anger
im also feeling kind of curious and i wish that i could find someone just to learn more about them,suprise
i feel so unfortunate among us coz all my sisters are strong and doesnt get sick while i always ended up like this,sad
i get the feeling from what their casual convo that it is a superhero game,joy
i want you to feel so special after the difficulties of the last few months,joy
i have already read the first ten issues quickly and am already feeling a bit gloomy and nostalgic knowing that i only have nine issues left,sad
i cant help but feeling a little bit jealous about it,anger
im feeling more eager to get on with the next one whatever it will be,joy
i feel as if ive been neglectful,sad
i feel that if i get amused enthralled or delighted by something i ve drawn chances are the readers will too,joy
i feel like i am the keeper of these precious years,joy
i feel more thankful being greeted by many friends and families,joy
i feel like i get caught up in petty shit when i am reading too much facebook,anger
i feel disgusted with them,anger
i am feeling very disappointment and just a little on the devastated side,sad
i feel very rich and full from the times that we have been able to share with them the last few weeks,joy
i did which makes me feel all clever obviously,joy
i had been feeling very very very lethargic,sad
i i feel relieved,joy
i really hated that feeling it put me out of all sorts making me distracted with my work and impatient with people making small requests in my ears,anger
i grew older i learned to feel remorseful,sad
i feel very honoured to be part of it,joy
i feel insecure with him watching,fear
is joy and grief show us that the emotions of a small boy are no different from the greatest emotions that an adult may feel over the acquisition of a treasure or the loss of a beloved a href http,love
i feel brave because im taking a risk and moving away to be with my boyfriend,joy
i took a pretty long break from it all a couple of years ago due to studies it feels strange to have been at it for so long,suprise
i feel groggy so it will be tough,sad
i have eaten so much food that i am feeling lethargic and frumpy,sad
i feel really passionate about some stuff but not really really passionate about that stuff i feel passionate about,joy
i feel nick wright was delivering a sincere product that was based on tangible knowledge of what he was discussing or was i being snookered by a skilled orator,joy
i am finally feeling inspired to sew,joy
ive concluded recently is that i feel like severely damaged goods,sad
i feel so unimportant hangover,sad
i think they should have classes in all schools about bullying feelings cliques feeling left out being shy low self esteem etc,fear
i am as much of a gadget geek or tech head as anyone but for some reason i feel like smart phones are going to be the downfall of humanity,joy
i think of you i feel shocked by an bal,suprise
im feeling more irritable this days i dont know why,anger
im the youngest person at my company but i still feel like my opinions and work is respected by my coworkers,joy
i had encountered earlier in my practice these men did not have metastases and had been feeling fine before the shots were started,joy
i feel sure that the workshop had been especially tidied for our visit it was wonderful and much appreciated,joy
i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,joy
i dont have much for ya but i am feeling a little blog guilt for neglecting you lovely people for two whole weeks,love
i am feeling totally and completely emotionally drained,sad
i often feel very inadequate and i wonder why god gave me this testimony,sad
i feel discouraged and realize face palm that i need to look at things with a different perspective to be grateful about anything i can find,sad
i now feel all bouncy,joy
im feeling it for you if you arent too keen on these cosmetics posts,joy
i feel like whether or not a dawsons creek reunion is in the works is the number one question that we get asked van der beek said on a target blank rel nofollow href http www,sad
i could take as much as i felt comfortable with and that just because there was an abundance of food didnt mean i had to eat it all or feel threatened,fear
i left leaving a few people feeling bitter and i am trying to feel bad about that,anger
i dont hate mud but i have a feeling after that race i wont be keen on it,joy
i was able to feel more relaxed and the pain in my back and then my knees was becoming less and less,joy
im feeling happy to get some commitment too,joy
i dont see myself tying up the ole rope any time soon although i will say that i wouldnt put it past a lot of people who feel as shitty as i do to off themselves,sad
i feel so ungrateful because there is a voice in my head screaming,sad
i feel that the tragic events unfolding in japan will raise sufficient alarm bells within government circles to revaluate the jaitapur nuclear power project,sad
i feel the tugs and pulls of muscles that hurt in all directions,sad
im not feeling very intelligent today,joy
i am feeling a lot more positive today after yesterdays decision to attempt to create a healthy lifestyle blog,joy
i came down with a fever ive been feeling incredibly lethargic the whole day which i wasted,sad
i feel like people were being tortured by the wait,fear
ive never been to and i have no money we have to buy our own food p but id feel rude not accepting it,anger
i took maybe three photos of our three different thanksgiving feasts i feel like such a lame duck,sad
i feel our connection is permanently damaged,sad
i need to bathe and i am feeling grouchy,anger
i feel proud to be associated with my school and helpage india,joy
i can contemplate getting a hug from without feeling frightened physically flinching is someone i know i can trust to be around when i am experiencing visible emotion,fear
i spent a few days feeling defeated and wondering how much better i can expect myself to get,sad
i have said it over times and i feel clever every time i get the chance to deliver my one liner,joy
i have my camera in my hand somehow i feel fearless,joy
i feel much better more like a real girl,joy
i am very loyal to people and would feel horrible if i started seeing someone else when i was talking to him,sad
i ended up having to add in some carbohydrates before my long runs because i didnt feel like i was getting enough energy from the paleo carb choices such as sweet potatoes and quinoa,love
i feel all the more frustrated if i have to clean that pan myself because i need to use it,anger
i feel good and am gaining weight much better than i did with diego,joy
i just want to stop feeling this overwhelming sense of love and longing whenever i see him,love
i feel like if i watch the show then i am supporting their lifestyle of which i adamantly disagree,love
i feel like i am an adventurous in trying new food,joy
i guess im feeling disheartened,sad
i just woke up in the middle of the night for no definitive reason feeling restless unsafe and scared,fear
i feel ugly etc gratitude mantras help keep you focused,sad
i crossed the park road and started the second third of the course feeling ok but well aware of the rapidly decreasing amount of water,joy
i feel that the album is the vital way to experience view and critique a work by an artist and in order to give an album the credit it is due it is crucial to experience it in the proper sequence from beginning to end as one listening experience as it was made to be heard,joy
i was feeling came from the realization of how much we all seem to be using our words to hurt to inflame to accuse to anger,sad
im feeling really inspired and much more informed,joy
i want to do something what i feel passionate about achieve something,joy
i wasn t a sporty type growing up so i might just commit to doing five minutes of yoga to begin with and i ll usually feel sufficiently invigorated after that to get outside for a run,joy
i allowed to feel stressed out,sad
i think the greatest issue i had with this book is that i had no emotional connection to colin whatsoever when the author wanted me to feel as pained as kate vanessa and dani regarding his death,sad
i feel really agitated by any little thing recently,fear
i feel that this is a question that my own fellowship needs to face up to and that we as yet have been fearful to confront as a congregtion we expend massive amounts of energy trying to keep every one happy energy that could be better used elsewhere,fear
i don t do it because i want to feel good about myself,joy
